cell,config,quota_backend_bytes,status,outcome
cell028,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",8388608,passed,passed
cell029,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",67108864,passed,passed
cell030,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",2097152,failed,property-failed
cell031,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",8388608,passed,passed
cell032,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",67108864,passed,passed
cell033,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",2097152,failed,property-failed
cell034,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",8388608,passed,passed
cell035,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",67108864,passed,passed
cell036,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",2097152,failed,property-failed
cell037,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",8388608,passed,passed
cell038,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",67108864,passed,passed
cell039,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":0}",2097152,failed,property-failed
