cell,config,quota_backend_bytes,status,outcome
cell070,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":1}",8388608,passed,passed
cell071,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":1}",67108864,passed,passed
cell072,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",2097152,failed,property-failed
cell073,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",8388608,passed,passed
cell074,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",67108864,passed,passed
cell075,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",2097152,failed,property-failed
cell076,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",8388608,passed,passed
cell077,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",67108864,passed,passed
cell078,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",2097152,failed,property-failed
cell079,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",8388608,passed,passed
cell080,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",67108864,passed,passed
cell081,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",2097152,failed,property-failed
cell082,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",8388608,passed,passed
cell083,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",67108864,passed,passed
cell084,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",2097152,failed,property-failed
cell085,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",8388608,passed,passed
cell086,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",67108864,passed,passed
cell087,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",2097152,failed,property-failed
cell088,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",8388608,passed,passed
cell089,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",67108864,passed,passed
cell090,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",2097152,failed,property-failed
cell091,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",8388608,passed,passed
cell092,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",67108864,passed,passed
cell093,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",2097152,failed,property-failed
cell094,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",8388608,passed,passed
cell095,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":1,"".virtualisation.memorySize"":1}",67108864,passed,passed
